apiId,name,englishName,enabled,version,sourceUrl
20151029000000000289,한식지역별,TI_MAFRA_A_KOR_FOD_ARA_GG,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000290,생산품목별원가구성,TI_MAFRA_A_PRDK_PRMPC_CO,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000291,원료별국산원료사용비중,TI_MAFRA_A_ML_DOME_USMP,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000292,농지시군별거래현황,TI_MAFRA_A_FRLND_SIGUN_DST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000293,동행응답자특성,TI_MAFRA_A_CT_RPD_CHR,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000294,음식점인지경로,TI_MAFRA_A_RSTR_PAPSP_CS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000295,여성농업담당비중,TI_MAFRA_A_FEE_FARRG_MP,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000296,여성농업외소득활동,TI_MAFRA_A_FEE_FAREL_INCOM,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151029000000000297,여성시급해결과제,TI_MAFRA_A_FEE_PYUT_TASK,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151104000000000298,축산업허가등록현황,TI_MAFRA_STKRS_PRMISN_RESTTUS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151104000000000299,가축거래상인등록현황,TI_MAFRA_LVSTCK_DEALER_RESTTUS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151112000000000300,국제곡물가격정보,TI_KREI_INTRL_CRLS_PC_INFO,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000301,경영이양직접지불제 통계자료,TI_KRC_ADMINISTTRAN_DIRPYM_STA,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000302,농지규모화 사업추진실적,TI_KRC_FRLND_SBP_AMST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000303,과원규모화 사업추진실적,TI_KRC_ORCHARD_SBPRTN_AMST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000304,지급방식별 가입분석,TI_KRC_PYTHD_SBSCRB_ANALS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000305,담보농지 분석,TI_KRC_MRTGG_FRLND_ANALS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000306,임대수탁 농지분석,TI_KRC_RENT_TRFR_ANALS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000307,경영회생 지역별 추진실적,TI_KRC_ADMINISTTRAN_RARP_AMST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151124000000000308,매입비축 도별 임대현황,TI_KRC_PUCHAS_SVDORENT_STUS,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151125000000000309,원천산지공판장가격목록조회,VIEW_SRC_MTC_JMRKT_PC_LIST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
20151125000000000310,원천산지위판장가격목록조회,VIEW_SRC_MTC_CTTMLT_PC_LIST,Y,1.0,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240806000000002609
