no,koglType,name,desc,menu,restSample,ajaxSample,manual,menuLinks
51,유형3,작목별농업기술정보,"작목별 정보를 농업기술길잡이를 통하여 제공하며, 작목별로 최근 반영된 개정자료를 제공.",-,,http://api.nongsaro.go.kr/sample/ajax/cropEbook/cropEbook.html,https://www.nongsaro.go.kr/portal/apiManual/cropEbook.zip,
50,유형3,잔류농약기준 위반현황,잔류농약기준 위반현황 정보를 제공.,잔류농약기준 위반현황,,http://api.nongsaro.go.kr/sample/ajax/xportSftyVioltStus/xportSftyVioltStus.html,https://www.nongsaro.go.kr/portal/apiManual/xportSftyVioltStus.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04120
49,유형3,잡초정보,잡초 정보를 제공.,잡초검색,,http://api.nongsaro.go.kr/sample/ajax/weedsInfo/weedsInfo.html,https://www.nongsaro.go.kr/portal/apiManual/weedsInfo.zip,https://nongsaro.go.kr/portal/ps/pss/pssa/weedsSearchLst.ps?menuId=PS00406
48,유형3,전통주 제조법,전통주 제조법 정보를 제공.,전통주제조법,,http://api.nongsaro.go.kr/sample/ajax/trditAchlqrMnfcturLaw/trditAchlqrMnfcturLaw.html,https://www.nongsaro.go.kr/portal/apiManual/trditAchlqrMnfcturLaw.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00349&pageUnit=12
47,유형3,종가음식,종가음식 정보를 제공.,종가음식,,http://api.nongsaro.go.kr/sample/ajax/headFamilyFood/headFamilyFood.html,https://www.nongsaro.go.kr/portal/apiManual/headFamilyFood.zip,https://nongsaro.go.kr/portal/ps/psr/psra/clsrcFdLst.ps?menuId=PS03926
46,유형3,좋아하는 꽃,선호꽃 효과 정보를 제공.,좋아하는꽃을선택해보세요,,http://api.nongsaro.go.kr/sample/ajax/preferenceFlower/preferenceFlower.html,https://www.nongsaro.go.kr/portal/apiManual/preferenceFlower.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04047
45,유형3,주간농사정보,"작물에 대한 농작물 관리, 병해충 방제요령 등의 주간농사정보 및 첨부파일 다운로드 기능을 제공.",주간농사정보,http://api.nongsaro.go.kr/sample/rest/weekFarmInfo/weekFarmInfo.jsp,http://api.nongsaro.go.kr/sample/ajax/weekFarmInfo/weekFarmInfo.html,https://www.nongsaro.go.kr/portal/apiManual/weekFarmInfo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00199
44,유형3,주제별 짧은 강의동영상,주제별 짧은 강의동영상을 제공.,강의동영상,,http://api.nongsaro.go.kr/sample/ajax/lectureDicMvp/lectureDicMvp.html,https://www.nongsaro.go.kr/portal/apiManual/lectureDicMvp.zip,https://nongsaro.go.kr/portal/ps/psb/psbd/lectureMvpLst.ps?menuId=PS04084
43,유형3,주제별 짧은 기술동영상,주제별 짧은 기술동영상을 제공.,농업기술동영상,,http://api.nongsaro.go.kr/sample/ajax/curationMvp/curationMvp.html,https://www.nongsaro.go.kr/portal/apiManual/curationMvp.zip,https://nongsaro.go.kr/portal/ps/psb/psbo/farmngTchnlgyMvpLst.ps?menuId=PS00069&pageUnit=9
42,유형3,지역 브랜드,지역 브랜드,지역브랜드,,http://api.nongsaro.go.kr/sample/ajax/areaBrand/areaBrand.html,https://www.nongsaro.go.kr/portal/apiManual/areaBrand.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03344&sUpperClCode=376005&pageUnit=9
41,유형3,지역특산물,지역특산물,지역특산물,,http://api.nongsaro.go.kr/sample/ajax/localSpcprd/localSpcprd.html,https://www.nongsaro.go.kr/portal/apiManual/localSpcprd.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03343&sUpperClCode=376004&pageUnit=9&pageSize=7
40,유형3,진로체험활동 정보,청소년들의 진로에 활용할 수 있는 유용한 정보를 제공.,토마토 재배부터 판매까지,http://api.nongsaro.go.kr/sample/rest/schoolGarden/schoolGarden.jsp,http://api.nongsaro.go.kr/sample/ajax/schoolGarden/schoolGarden.html,https://www.nongsaro.go.kr/portal/apiManual/schoolGarden.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03962
39,유형3,창업을 위한 식용 곤충요리,식용 곤충 요리 정보를 제공.,식용곤충요리,,http://api.nongsaro.go.kr/sample/ajax/insectFood/insectFood.html,https://www.nongsaro.go.kr/portal/apiManual/insectFood.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04209&pageUnit=12
38,유형3,천연작물보호소재 정보,"과명, 학명, 국명 등의 검색 기능 및 정보를 제공하고 각 식물별 화합물 및 참고 문헌리스트를 제공.",천연작물보호소재검색,http://api.nongsaro.go.kr/sample/rest/biopesticide/biopesticide.jsp,http://api.nongsaro.go.kr/sample/ajax/biopesticide/biopesticide.html,https://www.nongsaro.go.kr/portal/apiManual/biopesticide.zip,https://nongsaro.go.kr/portal/ps/psd/psda/compoundLst.ps?menuId=PS00125&tabMenuNo=PS00283&tabMenuNo=PS00284
37,유형3,천적활용기술,천적활용기술 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/naturalEnemyTech/naturalEnemyTech.html,https://www.nongsaro.go.kr/portal/apiManual/naturalEnemyTech.zip,
36,유형3,첨단농업기술,첨단농업기술 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/uptodeFarmngTchnlgyInfo/uptodeFarmngTchnlgyInfo.html,https://www.nongsaro.go.kr/portal/apiManual/uptodeFarmngTchnlgyInfo.zip,
35,유형1,청차장일정,청차장 일정 정보를 제공.,농촌진흥청 대표홈페이지,,http://api.nongsaro.go.kr/sample/ajax/drctschEntry/drctschEntry.html,https://www.nongsaro.go.kr/portal/apiManual/drctschEntry.zip,http://www.rda.go.kr/idu.do?prgId=idu_drctschEntry&gubun=1523&ctx=minister&whatKindOfSearch=1
34,유형3,최신 생산 경영 기술,최신 생산 경영 기술,최신생산경영기술,,http://api.nongsaro.go.kr/sample/ajax/manufactureTech/manufactureTech.html,https://www.nongsaro.go.kr/portal/apiManual/manufactureTech.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00081
33,유형3,최신 유기농업 기술,최신 유기농업 기술,최신유기농업기술,,http://api.nongsaro.go.kr/sample/ajax/orgnicFarmng/orgnicFarmng.html,https://www.nongsaro.go.kr/portal/apiManual/orgnicFarmng.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00080
32,유형3,추천 식단,추천 식단 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/todayDiet/todayDiet.html,https://www.nongsaro.go.kr/portal/apiManual/todayDiet.zip,
31,유형3,추천식단정보,"식단 분류 및 각 분류별 대표이미지, 제목, 식단 상세 설명 정보를 제공.",-,http://api.nongsaro.go.kr/sample/rest/recomendDiet/recomendDiet.jsp,http://api.nongsaro.go.kr/sample/ajax/recomendDiet/recomendDiet.html,https://www.nongsaro.go.kr/portal/apiManual/recomendDiet.zip,
30,유형3,축산분뇨 농가활용프로그램,축산분뇨 농가활용프로그램,농가활용프로그램,,http://api.nongsaro.go.kr/sample/ajax/farmAppTech/farmAppTech.html,https://www.nongsaro.go.kr/portal/apiManual/farmAppTech.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03231&bbsId=17
29,유형3,축산분뇨 자원화 업체,자원화업체 정보와 첨부파일을 제공.,자원화전문업체,,http://api.nongsaro.go.kr/sample/ajax/manureRecycling/manureRecycling.html,https://www.nongsaro.go.kr/portal/apiManual/manureRecycling.zip,https://nongsaro.go.kr/portal/ps/psg/psgc/psgcb/bcrsSpcltyEntrpsMapLst.ps?menuId=PS03245&sFcltySeCode=305001
28,유형1,축산분뇨 처리시설업체,처리시설업체 정보와 첨부파일을 제공.,처리시설업체,,http://api.nongsaro.go.kr/sample/ajax/processFcltyEntrps/processFcltyEntrps.html,https://www.nongsaro.go.kr/portal/apiManual/processFcltyEntrps.zip,https://nongsaro.go.kr/portal/ps/psg/psgc/psgca/processFcltyEntrpsLst.ps?menuId=PS03243
27,유형3,축산실용기술모음,축산 실용 기술 정보를 제공.,축산용어사전,,http://api.nongsaro.go.kr/sample/ajax/stkrsPractialTech/stkrsPractialTech.html,https://www.nongsaro.go.kr/portal/apiManual/stkrsPractialTech.zip,https://nongsaro.go.kr/portal/ps/psg/psgd/stkrsTermDicLst.ps?menuId=PS03158
26,유형1,축산용어사전,축산 관련 용어 설명 정보를 제공.,축산용어사전,,http://api.nongsaro.go.kr/sample/ajax/stockbreedingDic/stockbreedingDic.html,https://www.nongsaro.go.kr/portal/apiManual/stockbreedingDic.zip,https://nongsaro.go.kr/portal/ps/psg/psgd/stkrsTermDicLst.ps?menuId=PS03158
25,유형3,축산환경자가진단,축산환경자가진단을 위한 평가기준 정보를 제공.,자가진단심사기준,,http://api.nongsaro.go.kr/sample/ajax/stkrsEnvrnJdgmn/stkrsEnvrnJdgmn.html,https://www.nongsaro.go.kr/portal/apiManual/stkrsEnvrnJdgmn.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03236&tabMenuNo=PS03415
24,유형3,치유농업 동영상,치유농업 동영상 정보를 제공.,농업기술동영상,,http://api.nongsaro.go.kr/sample/ajax/agroHealingFarmMvp/agroHealingFarmMvp.html,https://www.nongsaro.go.kr/portal/apiManual/agroHealingFarmMvp.zip,https://nongsaro.go.kr/portal/ps/psb/psbo/farmngTchnlgyMvpLst.ps?menuId=PS00069&pageUnit=9&sPrdlstCtgCode=HE
23,유형3,치유농업 연구성과,치유농업 연구성과 정보를 제공.,농촌진흥청 연구성과,,http://api.nongsaro.go.kr/sample/ajax/agroHealingResearchResult/agroHealingResearchResult.html,https://www.nongsaro.go.kr/portal/apiManual/agroHealingResearchResult.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65201&pageUnit=9&sGnCode=667001
22,유형3,치유농업 이슈,치유농업 이슈 정보를 제공.,치유농업 이슈,,http://api.nongsaro.go.kr/sample/ajax/agroHealingIssue/agroHealingIssue.html,https://www.nongsaro.go.kr/portal/apiManual/agroHealingIssue.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65203&pageUnit=8
21,유형3,치유농업 참고자료,치유농업 참고자료 정보를 제공.,치유농업 참고자료,,http://api.nongsaro.go.kr/sample/ajax/agroHealingRef/agroHealingRef.html,https://www.nongsaro.go.kr/portal/apiManual/agroHealingRef.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65216
20,유형3,치유농장,치유농장 정보를 제공.,국내외 치유농장,,http://api.nongsaro.go.kr/sample/ajax/agroHealingFarm/agroHealingFarm.html,https://www.nongsaro.go.kr/portal/apiManual/agroHealingFarm.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65207&pageUnit=7&sGnCode=669001
19,유형3,친환경농법사례,친환경농법 사례 정보를 제공.,우수사례,,http://api.nongsaro.go.kr/sample/ajax/evrfrndFarmng/evrfrndFarmng.html,https://www.nongsaro.go.kr/portal/apiManual/evrfrndFarmng.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03822&sUpperClCode=376002&pageUnit=6
18,유형3,텃밭가꾸기 정보,"텃밭 채소, 과수 등의 작물을 재배할 때 활용할 수 있는 유용한 정보를 제공.",채소,http://api.nongsaro.go.kr/sample/rest/fildMnfct/fildMnfct.jsp,http://api.nongsaro.go.kr/sample/ajax/fildMnfct/fildMnfct.html,https://www.nongsaro.go.kr/portal/apiManual/fildMnfct.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03172&sSeCode=335001
17,유형3,토마토재배시설 평가하기,토마토재배시설 평가를 위한 기초 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/tmtEvl/tmtEvl.html,https://www.nongsaro.go.kr/portal/apiManual/tmtEvl.zip,
16,유형3,표준사료 검색,"농후사료, 조사료 등 표준사료 정보를 한글명, 영문명으로 구분하여 제공.",사료검색,http://api.nongsaro.go.kr/sample/rest/feedSearch/feedSearch.jsp,http://api.nongsaro.go.kr/sample/ajax/feedSearch/feedSearch.html,https://www.nongsaro.go.kr/portal/apiManual/feedSearch.zip,https://nongsaro.go.kr/portal/ps/psx/psxl/feedNewSchLst.ps?menuId=PS00105
15,유형3,품목별 관리매뉴얼,세부 품목 리스트 및 농작업일정 첨부파일 다운로드 기능을 제공.,-,http://api.nongsaro.go.kr/sample/rest/farmWorkingPlan/farmWorkingPlan.jsp,http://api.nongsaro.go.kr/sample/ajax/farmWorkingPlan/farmWorkingPlan.html,https://www.nongsaro.go.kr/portal/apiManual/farmWorkingPlan.zip,
14,유형3,품목별 수출정보,품목별 수출정보,품목별 수출정보,,http://api.nongsaro.go.kr/sample/ajax/prdlstInfo/prdlstInfo.html,https://www.nongsaro.go.kr/portal/apiManual/prdlstInfo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04161
13,유형3,품종 정보,"품종별 따른 분류, 육성년도, 숙기 등의 검색 및 대표이미지, 작물명, 육선년도, 육성기관, 품종명 등의 정보를 제공.",품종정보,http://api.nongsaro.go.kr/sample/rest/varietyInfo/varietyInfo.jsp,http://api.nongsaro.go.kr/sample/ajax/varietyInfo/varietyInfo.html,https://www.nongsaro.go.kr/portal/apiManual/varietyInfo.zip,https://nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425
12,유형3,품종정보출원 등록정보,품종정보출원/등록정보(보호등록) 정보를 제공.,출원/등록정보,,http://api.nongsaro.go.kr/sample/ajax/varietyInfoRegData/varietyInfoRegData.html,https://www.nongsaro.go.kr/portal/apiManual/varietyInfoRegData.zip,https://nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS00270&spciesChk=N
11,유형3,학교텃밭 우수사례,학교 텃밭 우수 사례 정보를 제공.,학교텃밭 우수 사례,,http://api.nongsaro.go.kr/sample/ajax/excellenceCase/excellenceCase.html,https://www.nongsaro.go.kr/portal/apiManual/excellenceCase.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00400
10,유형3,학교텃밭교과학습활동프로그램,학교텃밭 교과학습활동 프로그램 정보를 제공.,기타 프로그램,,http://api.nongsaro.go.kr/sample/ajax/studyActivityProgram/studyActivityProgram.html,https://www.nongsaro.go.kr/portal/apiManual/studyActivityProgram.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00519
9,유형3,한방약술,한방약술 정보를 제공.,한방약술,,http://api.nongsaro.go.kr/sample/ajax/orientalMedicineAlcohol/orientalMedicineAlcohol.html,https://www.nongsaro.go.kr/portal/apiManual/orientalMedicineAlcohol.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS03927&pageUnit=9
8,유형3,해외 농업 연구,해외 농업 연구 정보와 첨부파일을 제공.,해외농업,,http://api.nongsaro.go.kr/sample/ajax/ovseaFarmng/ovseaFarmng.html,https://www.nongsaro.go.kr/portal/apiManual/ovseaFarmng.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00098
7,유형3,향토 음식,"전국의 유명 향토음식의 재료, 조리 방법 등의 정보를 제공.",음식명검색,http://api.nongsaro.go.kr/sample/rest/nvpcFdCkry/nvpcFdCkry.jsp,http://api.nongsaro.go.kr/sample/ajax/nvpcFdCkry/nvpcFdCkry.html,https://www.nongsaro.go.kr/portal/apiManual/nvpcFdCkry.zip,https://nongsaro.go.kr/portal/ps/psr/psrc/fdNmLst.ps?menuId=PS03933
6,유형3,향토음식 한영대역사전,향토음식 한영대역사전 정보를 제공.,한영대역사전,,http://api.nongsaro.go.kr/sample/ajax/korEngDictionary/korEngDictionary.html,https://www.nongsaro.go.kr/portal/apiManual/korEngDictionary.zip,https://nongsaro.go.kr/portal/ps/psr/psrl/korEngDictionary.ps?menuId=PS03937
5,유형3,현장기술지원,작목별 현장기술지원 결과를 제공.,현장기술지원 사례,http://api.nongsaro.go.kr/sample/rest/sptTchnlgySport/sptTchnlgySport.jsp,http://api.nongsaro.go.kr/sample/ajax/sptTchnlgySport/sptTchnlgySport.html,https://www.nongsaro.go.kr/portal/apiManual/sptTchnlgySport.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00077
4,유형3,현장애로기술사례,농업 현장에서 발생한 질의와 그에 대한 전문가들의 답변 정보를 제공.,현장기술 상담결과,http://api.nongsaro.go.kr/sample/rest/elctrnCvpl/elctrnCvpl.jsp,http://api.nongsaro.go.kr/sample/ajax/elctrnCvpl/elctrnCvpl.html,https://www.nongsaro.go.kr/portal/apiManual/elctrnCvpl.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00078
3,유형1,홍보서비스,홍보서비스 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/prUnityContent/prUnityContent.html,https://www.nongsaro.go.kr/portal/apiManual/prUnityContent.zip,
2,유형3,화분매개곤충 농약적용,화분매개곤충 농약적용 정보를 제공.,농약적용검색,,http://api.nongsaro.go.kr/sample/ajax/insectAgchApplc/insectAgchApplc.html,https://www.nongsaro.go.kr/portal/apiManual/insectAgchApplc.zip,https://nongsaro.go.kr/portal/ps/psc/pscc/insectAgchApplcLst.ps?menuId=PS00207
1,유형3,화분매개곤충 생산자 정보,화분매개곤충 생산자 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/insectMkerInfo/insectMkerInfo.html,https://www.nongsaro.go.kr/portal/apiManual/insectMkerInfo.zip,
