source,name,desc,url,provider,type
KADX 농식품 공공데이터,출장소 관리 정보,"농림축산식품부에서 제공하는 출장소 관리 정보에 대한 데이터로 출장소코드, 출장소명칭, 등록일 등의 정보를 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002945,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,출하품목 정보,"농림축산식품부에서 제공하는 출하품목 정보에 대한 데이터로 분류코드, 품목코드, 품목명 등의 정보를 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002946,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,친환경농업 지원사업 신청현황정보,농림축산식품부에서는 친환경농업 지원사업 신청현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002947,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,친환경축산축종코드매핑정보,"농림축산식품부에서 제공하는 친환경축산축종코드매핑정보로 축종코드친환경품목코드,매핑일련번호,사용여부,등록일시,수정일시등의 정보를 포함하여 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002948,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,토양 경지 면적 통계 정보,농림축산식품부에서는 토양 경지 면적 통계 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002949,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,토양 지급기준 소요량정보,농림축산식품부에서는 토양 지급기준 소요량정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002950,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,토양개량제신청량및예산안정보,농림축산식품부에서는 토양개량제신청량및예산안정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002951,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,토양개량제월별살포통계정보,농림축산식품부에서는 토양개량제월별살포통계정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002952,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,토양개량제월별신청통계정보,"농림축산식품부에서 제공하는 토양개량제월별신청통계정보로 사업년도,선정년도,공급년도,토양개량제비료코드,토양개량제월별통계순번등의 정보를 포함하여 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002953,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,퇴비부숙도 농가 이행상황정보,농림축산식품부에서는 퇴비부숙도 농가 이행상황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002954,농림수산식품교육문화정보원,OpenAPI product
