title,desc,url,provider,updated,views,useCount,keywords
식품의약품안전처_건강기능식품판매업,건강기능식품에 관한 법률에 따른 건강기능식품 판매업 관련 정보입니다. *“건강기능식품”이란 인체에 유용한 기능성을 가진 원료나 성분을 사용하여 제조(가공을 포함한다.,https://www.data.go.kr/data/15064849/openapi.do,식품의약품안전처,2025-08-26,4560,1109,
식품의약품안전처_식품접객업소 위생등급 지정현황,식품위생법에 따른 식품접객업소 위생등급 지정현황 자료입니다.,https://www.data.go.kr/data/15060883/openapi.do,식품의약품안전처,2025-08-27,8060,1536,
식품의약품안전처_건강기능식품 생산실적보고 품목 정보,"건강기능식품 생산실적보고 대상 업소명, 품목명, 품목구분, 품목유형, 인허가번호, 보고년도, 품목제조보고번호, 연간생산능력(KG), 생산량(KG) 등 정보를 제공합니다.",https://www.data.go.kr/data/15074315/openapi.do,식품의약품안전처,2025-08-26,7298,1881,
식품의약품안전처_식품의 회수 및 판매중지 정보,"제품명, 회수사유, 제조업체명, 업체주소, 전화번호, 바코드번호, 포장단위, 제조일자, 회수방법, 유통기한, 식품분류, 제품사진 URL, 품목코드, 등록일, 회수.판매중지 일련번호,",https://www.data.go.kr/data/15074318/openapi.do,식품의약품안전처,2025-08-27,6349,1252,
식품의약품안전처_식품별 농약잔류허용기준 정보,"식품한글명, 식품영문명, 농약명, 일일섭취량, 잠정기준적용여부, 대분류, 중분류, 소분류, 시행시점, 단계, MRL값, 기타여부, 폐기여부 등의 항목을 제공합니다.",https://www.data.go.kr/data/15074324/openapi.do,식품의약품안전처,2025-08-27,4200,1134,
식품의약품안전처_건강기능식품의 기준 및 규격 정보,"건강기능식품의 품목코드, 품목한글명, 시험항목코드, 시험항목 한글명, 세부항목명, 기준규격값, 기준규격값 요약, 유효개시일자, 유효종료일자, 출처, 최대값, 최소값, 위해여부, 단위명",https://www.data.go.kr/data/15074321/openapi.do,식품의약품안전처,2025-08-26,5477,1462,
농림축산식품부_비영리법인현황(사단법인),"이를 통해 농림축산식품 분야에서 공익적 목적을 가지고 활동하는 법인의 설립 배경과 운영 목적을 명확히 확인할 수 있으며, 각 법인이 어느 지역을 기반으로 활동하는지도 파악할 수 있습니다",https://www.data.go.kr/data/15054967/openapi.do,농림축산식품부,2025-09-11,6132,1887,
식품의약품안전처_식품수거검사 계획 및 실적 정보,식품의약품안전처에서 제공하는 식품수거검사 계획 및 실적 정보 자료입니다.,https://www.data.go.kr/data/15074317/openapi.do,식품의약품안전처,2025-08-27,107076,1144,
국토교통부_농림지역,"건폐율·용적률·높이 등을 제한함으로써 토지를 경제적·효율적으로 이용하고 공공복리의 증진을 도모하기 위하여 서로 중복되지 않게 도시관리계획으로 결정하는 지역으로 도시지역, 관리지역, 농림지역",https://www.data.go.kr/data/15059255/openapi.do,국토교통부,2025-07-01,5802,208,
충청남도_충남넷_축산알림,"충청남도 충남넷 축산알림의 데이터를 제공합니다, 데이터는 게시물 제목, 내용, 담당부서, 담당자 및 관련 첨부파일 등을 제공합니다.",https://www.data.go.kr/data/15096607/openapi.do,충청남도,2025-01-31,5631,291,
식품의약품안전처_식품접객업정보,"식품위생법에 따른 식품접객업 영업 관련 정보입니다. 식품접객업에는: 휴게음식점,일반음식점, 제과점영업, 위탁급식영업 등이 있습니다.",https://www.data.go.kr/data/15064859/openapi.do,식품의약품안전처,2026-03-26,3784,648,
식품의약품안전처_식품 원재료 정보,식품의약품안전처 「식품 원재료 정보」 OpenAPI는 식품에 사용되는 원재료의 기본 정보를 제공합니다.,https://www.data.go.kr/data/15058665/openapi.do,식품의약품안전처,2025-09-19,17964,735,
경기도_식품제조가공업(기타) 현황,"이 데이터는 경기도 내 기타 식품제조가공업에 대한 인허가 현황을 담고 있으며, 도시락, PB(Private Brand) 제품 등을 제조 및 가공하는 사업체 정보를 포함합니다.",https://www.data.go.kr/data/15056958/openapi.do,경기도,2025-07-23,4462,937,
경기도_식품냉동냉장업 현황,"이 데이터는 경기도 내 식품냉동냉장업체의 인허가 및 영업 현황을 담고 있으며, 각 사업장의 명칭, 위치, 인허가 일자, 영업상태, 위생업태, 종업원 수 등의 정보를 제공합니다.",https://www.data.go.kr/data/15058238/openapi.do,경기도,2025-07-25,2849,782,
식품의약품안전처_식품 유해물질 기준규격 정보,해당 데이터는 식품 내 유해물질에 대한 기준 및 규격 정보를 제공합니다.,https://www.data.go.kr/data/15058838/openapi.do,식품의약품안전처,2025-08-27,5003,880,
식품의약품안전처_식품위생등급평가관리내역,식품위생등급평가관리에 대한 속성정보를 제공합니다.,https://www.data.go.kr/data/15064969/openapi.do,식품의약품안전처,2025-08-27,4790,829,
식품의약품안전처_식품위생검사기관 지정 현황,식품의약품안전처에서 지정하는 식품ㆍ의약품분야 시험ㆍ검사 등에 관한 법률에 따른 식품위생 검사기관 지정 현황 관련 자료입니다.,https://www.data.go.kr/data/15064939/openapi.do,식품의약품안전처,2025-08-27,4729,812,
서울특별시 서대문구_건강기능식품 유통판매업 현황,건강기능식품 유통전문 판매업소의 신고 등록 현황입니다.,https://www.data.go.kr/data/15059305/openapi.do,서울특별시 서대문구,2025-08-07,3090,862,
공정거래위원회_식품 리콜정보,공정거래위원회가 마련한 전 부처 리콜 공통 가이드라인에 따라 각 부처에서 리콜 시행 중인 상품에 관한 정보임,https://www.data.go.kr/data/15056914/openapi.do,공정거래위원회,2019-03-05,3417,623,
식품의약품안전처_주류제조.면허자 식품제조.가공영업 등록 현황,주류제조.면허자 식품제조.가공영업 등록 현황 관련 정보로 주류제조·면허자 식품제조·가공영업으로 등록된 업체에 대한 속성정보를 제공합니다.,https://www.data.go.kr/data/15064916/openapi.do,식품의약품안전처,2025-08-27,4358,1113,
식품의약품안전처_식품위생교육내역,"식품위생법에 따라 식품제조가공업, 첨가물제조업 등 관련 영업자에 대한 식품위생교육내역 관련 정보입니다.",https://www.data.go.kr/data/15064910/openapi.do,식품의약품안전처,2025-08-27,3398,523,
농촌진흥청_축산분뇨 자원화 업체,축산분뇨를 효율적으로 처리하고 자원으로 활용할 수 있도록 돕는 통합 정보 서비스입니다.,https://www.data.go.kr/data/15041772/openapi.do,농촌진흥청,2026-04-15,2576,274,
식품의약품안전처_식품첨가물제조업,식품위생법에 따른 식품첨가물 제조업 관련 정보입니다.,https://www.data.go.kr/data/15064853/openapi.do,식품의약품안전처,2025-08-27,4014,446,
식품의약품안전처_식품 이력 정보,"「식품 이력 정보」 OpenAPI는 식품의약품안전처에서 관리하는 식품(식품이력,식품행정,식품원재료 등)과 관련된 정보를 조회하는 공공데이터입니다.",https://www.data.go.kr/data/15058187/openapi.do,식품의약품안전처,2025-09-22,18337,493,
식품의약품안전처_해외직구 위해식품 차단정보,"다이어트·성기능개선·근육강화를 표방하는 해외직구 식품 등에서 부정물질, 오·남용 우려 의약품 성분이 함유된 것으로 확인되었거나 국내외 위해정보에 따라 안전성 우려가 있는 제품에 대해서는",https://www.data.go.kr/data/15057831/openapi.do,식품의약품안전처,2025-08-27,4152,691,
식품의약품안전처_식품첨가물 정보,"식품첨가물명, 구조식, 화학식, 정의, 성분 규격, 확인 시험, 순도 시험, 정량법 등의 식품첨가물 정보를 목록으로 조회하는 서비스",https://www.data.go.kr/data/15058807/openapi.do,식품의약품안전처,2021-10-13,11248,457,
식품의약품안전처_건강기능식품 대상별 정보,"식품의약품안전처에서 관리하는 식품(식품이력,식품행정,식품원재료 등) 관련 정보 조회",https://www.data.go.kr/data/15058360/openapi.do,식품의약품안전처,2022-09-05,7616,548,
경상남도_축산농가,"경상남도내 축산농가에 대한 관리기관, 농가 대표자명, 사업자명, 사업장주소, 축산업종류, 축종, 면적, 허가 등록여부, 허가 등록일, 영업상태, 위도, 경도 등의 정보를 제공하는 서비스",https://www.data.go.kr/data/15062920/openapi.do,경상남도,2024-05-09,5840,138,
식품의약품안전처_수입식품 허가 정보,-식품의약품안전처에서 관리하는 수입식품의 허가 정보는 수입식품의 신고 현황을 연도별·국가별·품목별로 세분화하여 제공합니다.,https://www.data.go.kr/data/15058273/openapi.do,식품의약품안전처,2025-08-20,11241,456,
경기도_부적합 식품 현황,"이 데이터는 경기도 내에서 식품 위생기준을 충족하지 못한 부적합 식품에 대한 현황을 제공하며, 반기 단위로 갱신됩니다.",https://www.data.go.kr/data/15058239/openapi.do,경기도,2025-07-21,3079,394,
식품의약품안전처_식품 검사 공통기준규격,이 자료는 식품의약품안전처에서 관리하는 식품 검사에서 적용되는 식품 공통 기준 및 규격에 관한 자료입니다.,https://www.data.go.kr/data/15057328/openapi.do,식품의약품안전처,2025-08-27,3485,438,
식품의약품안전처_시약(식품첨가물) 정보,"식품의약품안전처에서 관리하는 시약(식품첨가물) 정보입니다. 시약 명, 회사 명, 시도별 지방청, 상태, 순도, 유효기간 자료를 제공합니다.",https://www.data.go.kr/data/15074325/openapi.do,식품의약품안전처,2025-08-26,3564,383,
식품의약품안전처_건강기능식품 전문.벤처제조업인허가 현황,건강기능식품에 관한 법률에 의거한 건강기능식품 전문.벤처제조업 인허가 현황 관련 정보를 제공합니다.,https://www.data.go.kr/data/15064863/openapi.do,식품의약품안전처,2025-08-26,2973,672,
식품의약품안전처_식품이력추적관리 등록 현황,식품이력 추적관리 등록 현황 관련 정보를 제공합니다.,https://www.data.go.kr/data/15064905/openapi.do,식품의약품안전처,2025-08-27,3528,537,
식품의약품안전처_식품판매업 폐업정보,"식품판매업 폐업에 대한 속성정보를 제공합니다. 속성정보로는 인허가번호 , 업소명 , 대표자명 , 업종 , 허가일자 , 폐업일자 , 페업상태 , 주소 , 기관명이 있습니다.",https://www.data.go.kr/data/15077647/openapi.do,식품의약품안전처,2025-08-27,3095,419,
