title,desc,url,provider,type,cycle,dataId,registered,updated
농수축산물 소매가격,"전국 소매시장(전통시장, 대형마트)의 농수축산물 가격을 조사하여 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220214000000001880,한국농수산식품유통공사,파일,수시,20220214000000001880,2022-02-14,2022-02-14
축종별 암수별 도축실적,도축장에서 실시한 도축검사 실적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161216000000000674,농림축산검역본부,OpenAPI,월간,20161216000000000674,2022-02-14,2025-08-14
시도별 도축실적,도축장에서 실시한 도축검사 실적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161216000000000673,농림축산검역본부,OpenAPI,월간,20161216000000000673,2022-02-14,2025-08-14
소 품종별 암수별 도축실적,도축장에서 실시한 도축검사 실적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161216000000000675,농림축산검역본부,OpenAPI,월간,20161216000000000675,2022-02-14,2025-08-14
닭 품종별 도축실적,도축장에서 실시한 도축검사 실적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161216000000000676,농림축산검역본부,OpenAPI,월간,20161216000000000676,2022-02-14,2025-08-14
농지연금 담보농지 분석 자료,"- 한국농어촌공사 농지연금사업은 농업인이 소유한 농지를 담보로 노후생활안정자금을 매월 연금방식으로 지급하여 농업인의 노후생활안정을 지원하는 사업입니다. - 한국농어촌공사 농지연금사업은 농업인이 소유한 농지를 담보로 가입방식에 따라 최대 300만원까지 월 지급금이 계산됩니다. - 본 개방데이터는 한국농어촌공사 농지연금사업에 가입한 가입자의 담보농지에 대한 최근 도별, 지목별(전, 답, 과수원), 면적(천제곱미터) 및 도별 농지가격(백만원)의 년도별 통계자료 제공하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20170915000000000826,한국농어촌공사,파일,년간,20170915000000000826,2022-02-11,2025-08-20
한국농어촌공사_농업용저수지 수질정보_측정망수질(2017년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20191014000000001279,한국농어촌공사,파일,년간,20191014000000001279,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_측정망수질(2018년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20191014000000001280,한국농어촌공사,파일,년간,20191014000000001280,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_수질측정망(2019년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240701000000002489,한국농어촌공사,파일,년간,20240701000000002489,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_수질측정망(2020년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240701000000002490,한국농어촌공사,파일,년간,20240701000000002490,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_수질측정망(2021년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240701000000002491,한국농어촌공사,파일,년간,20240701000000002491,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_수질측정망(2022년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240701000000002492,한국농어촌공사,파일,년간,20240701000000002492,2022-02-11,2025-08-26
한국농어촌공사_농업용저수지 수질정보_수질측정망(2023년),"한국농어촌공사가 관리하는 농업용수로 사용되는 저수지의 주소, 담당관리기관, 조사일자, 수질정보 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240701000000002493,한국농어촌공사,파일,년간,20240701000000002493,2022-02-11,2025-08-26
